,시설명,"시(특별,광역)/도",시/군/구,도로명,위도,경도,정원,현원
220,의성자혜원,경상북도,의성군,의성읍 북원3길 51-6,36.34389,128.70155,42,38
221,경북기독보육원,경상북도,영덕군,영해면 원당1길 31,36.5372749,129.411893,70,36
222,실로암육아원,경상북도,성주군,수륜면 성주가야산로 614,35.8098513,128.1626697,60,34
223,아가페선교타운,경상북도,영천시,화산면 신화로727,36.02859,128.8578,29,7
224,청도샬롬의집,경상북도,청도군,청도읍 원동길 29,35.62823,128.75955,29,5
225,청계사의집(휴지 중),경상북도,청도군,매전면 법이길29,35.66297,128.8307,9,0
226,동보원,경상남도,창원시,성산구 창이대로 684번길 26,35.2318217,128.6945752,62,34
227,영신원,경상남도,창원시,마산합포구 월영북로46,35.1969737,128.5673576,45,30
228,마산애리원,경상남도,창원시,마산합포구 완월남6길 10,35.1969737,128.5673576,50,27
229,마산애육원,경상남도,창원시,마산합포구 산호남12길 10,35.1969737,128.5673576,45,32
230,인애의집,경상남도,창원시,팔용로 270,35.256885,128.6144721,52,32
231,진해희망의집,경상남도,창원시,진해구 백구로6번길6,35.1319,128.7103,80,38
232,진주기독육아원,경상남도,진주시,진양호로 145번길 11-3,35.1932156,128.0910876,75,41
233,통영육아원,경상남도,통영시,도남로 304-8,34.82927,128.42485,52,47
234,신애원,경상남도,사천시,구암1길 20-16,35.003468,128.064562,42,14
235,방주원,경상남도,김해시,봉황대안길31,35.2310947,128.8908228,60,47
236,동광육아원,경상남도,김해시,대동로 417번길 48,35.2443502,128.9766407,31,27
237,진우원,경상남도,김해시,하계로338-20,35.2310947,128.8908228,48,35
238,성우애육원,경상남도,밀양시,가곡11길 16,35.4758204,128.7642768,75,33
239,신망원,경상남도,밀양시,상남면 양림동촌 2길 14-1,37.47046037,0,42,17
240,한빛원,경상남도,밀양시,만어로 129,35.4188523,128.8438705,45,18
241,성로육아원,경상남도,거제시,기성로 5길 17,34.850724,128.5890645,50,39
242,성지원,경상남도,거제시,거제대로3679-13,34.8804677,128.621207,41,29
243,양산애육원,경상남도,양산시,교동1길 51,35.34576,129.0236616,51,38
244,혜림학원,경상남도,의령군,벽화로 621,35.3114566,128.2550351,60,27
245,고성애육원,경상남도,고성군,성내로79번길 28,34.9732784,128.322233,50,23
246,보리수동산,경상남도,고성군,좌연4길 37-10,34.9732784,128.322233,80,39
247,남해자애원,경상남도,남해군,남해읍 망운로10번가길 22,34.8393104,127.8865905,23,9
248,성민보육원,경상남도,함양군,함양읍 인당2길 35,35.5144,127.7199,75,33
249,합천애육원,경상남도,합천군,중앙로 33-2,35.5651255,128.1584106,24,18
250,동해청소년학교,경상남도,고성군,외산로 504-122,34.9732784,128.322233,30,21
251,제주보육원,제주특별자치도,제주시,도근내길 42,33.4921311,126.4372447,63,57
252,홍익아동복지센터,제주특별자치도,제주시,화삼로 145,33.5142821,126.5782991,57,51
253,홍익영아원,제주특별자치도,제주시,화삼로 145,33.5142821,126.5782991,36,29
254,제남아동센터,제주특별자치도,서귀포시,서호호근로 183-11,33.2649606,126.5212245,56,42
255,천사의집,제주특별자치도,서귀포시,대정읍신영로 36번길6,33.2572971,126.515299,70,42
